lat,lon,city,country
42.27,-83.73,Ann Arbor,United States
37.27,126.98,Suwon-si,South Korea
45.52,-122.86,Beaverton,United States
38.25,-85.56,Louisville,United States
32.85,-117.25,San Diego,United States
33.42,-111.93,Tempe,United States
49.88,-97.17,Winnipeg,Canada
39.96,-75.2,Philadelphia,United States
35.23,-80.84,Charlotte,United States
33.65,130.35,Fukuoka,Japan
50.5,-104.63,Regina,Canada
37.53,-121.97,Fremont,United States
36.03,129.37,Pohang-si,South Korea
-6.13,106.75,North Jakarta,Indonesia
50.83,4.33,Saint-Gilles,Belgium
40,-89,Maroa,United States
34,-81.03,Columbia,United States
34.06,-118.27,Los Angeles,United States
28.62,77.22,New Delhi,India
40.05,-105.21,Boulder,United States
-37.75,144.97,Coburg,Australia
43.25,-79.83,Hamilton,Canada
18.5,-69.95,Santo Domingo,Dominican Republic
30.61,-96.34,College Station,United States
38.84,-104.81,Colorado Springs,United States
38.69,-90.45,unkown,United States
34.05,-118.26,Los Angeles,United States
33.87,-118.29,Gardena,United States
49.17,-122.97,Richmond,Canada
42.38,-71.06,Boston,United States
42.05,-87.69,Evanston,United States
34.06,-118.3,Los Angeles,United States
41.82,-71.42,Providence,United States
47.68,-122.19,Kirkland,United States
30,70,unkown,Pakistan
40.02,-105.29,Boulder,United States
48.67,19.5,Hriňová,Slovakia
41.88,-87.63,Chicago,United States
52.73,-1.33,unkown,United Kingdom
32.21,-110.97,Tucson,United States
33.87,-84.46,Atlanta,United States
34.09,-118.13,Alhambra,United States
39.97,-83,Columbus,United States
26.38,-80.1,Boca Raton,United States
40.79,-73.94,New York,United States
33.91,-84.56,Marietta,United States
40.21,-75.09,Warminster,United States
38.73,-9.13,Lisbon,Portugal
40.63,-81.93,Holmesville,United States
52.38,-2.23,Kidderminster,United Kingdom
33.52,126.48,Jeju-si,South Korea
42.35,-71.54,Marlborough,United States
34.73,-86.57,Huntsville,United States
21.32,-157.85,Honolulu,United States
38.96,-95.24,Lawrence,United States
35.5,-80,Troy,United States
40.08,-82.94,Columbus,United States
35.14,-90.05,Memphis,United States
42.29,-83.25,Dearborn,United States
40.44,-86.92,West Lafayette,United States
30.43,-97.83,Austin,United States
38.79,-104.82,Colorado Springs,United States
61.19,-149.89,Anchorage,United States
37.43,-122.18,Stanford,United States
55.93,38.08,Shchyolkovo,Russia
64.25,60.97,unkown,Russia
39.1,-94.6,Kansas City,United States
38.61,-90.44,St. Louis,United States
47.6,-122.33,Seattle,United States
41.47,-81.74,Cleveland,United States
29.77,-95.4,Houston,United States
22.53,114.13,Man Kam To,Hong Kong
35.17,128.1,Jinju-si,South Korea
38.19,-84.88,Frankfort,United States
34.18,-103.34,Portales,United States
54.88,37.42,Serpukhov,Russia
41.97,-91.66,Cedar Rapids,United States
29.73,-95.43,Houston,United States
37,-91.94,Willow Springs,United States
39.48,-0.4,Valencia,Spain
9.93,-84.08,San Jose,Costa Rica
40.82,-75.6,Palmerton,United States
41.88,12.5,Rome,Italy
33.92,-118.41,El Segundo,United States
44,-105.83,Gillette,United States
47.01,-122.88,Olympia,United States
42.3,-83.71,Ann Arbor,United States
45.48,-122.81,Beaverton,United States
36.18,-115.26,Las Vegas,United States
33.83,-117.84,Orange,United States
32.78,-97.08,Arlington,United States
47,-120,Quincy,United States
